hole_diameter(um),pitch(um),fiber_diameter(um),elips_semi_major_a,elips_semi_minor_b,pml(um),wevelength(um),real_effective_mode_index_x,real_effective_mode_index_y,birefringence,conf_x,conf_y,effective_area_x,effective_area_y,,,,,,,,,Confinement loss visualisation,,,,,,
0.68,1,12.5,0.2,0.1,2.5,1.6,1.3142,1.3185,0.0043,16.362,10.254,0,0,,,,,,,,,1.4,0.006,0.0046,0.0029,0.0067,0.0055,0.0034
0.68,1,12.5,0.2,0.1,2.5,1.7,1.3066,1.3105,0.0039,24.076,17.908,0,0,,,,,,,,,1.5,0.0056,0.0046,0.003,0.0065,0.0054,0.0034
0.69,1.1,12.5,0.25,0.15,2.5,0.6,1.4287,1.43,0.0013,0.0035591,0.0091919,0,0,,,,,,,,,1.6,0.0053,0.0044,0.0029,0.0061,0.0052,0.0032
0.69,1.1,12.5,0.25,0.15,2.5,0.7,1.4174,1.4193,0.0019,6.782,0.032637,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,0.8,1.4063,1.4087,0.0024,0.086163,0.022348,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,0.9,1.3954,1.3983,0.0029,0.11248,0.060398,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1,1.3849,1.3883,0.0034,0.38261,0.68606,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1.1,1.375,1.3787,0.0037,9.6443,9.266,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1.2,1.3657,1.3695,0.0038,13.042,2.6819,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1.3,1.3571,1.3609,0.0038,7.4184,3.5798,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1.4,1.349,1.3528,0.0038,9.5632,6.0429,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1.5,1.3416,1.3453,0.0037,14.305,10.485,0,0,,,,,,,,,,,,,,,
0.69,1.1,12.5,0.25,0.15,2.5,1.6,1.3347,1.3382,0.0035,21.676,17.65,0,0,,,,,,,,,,,,,,,
